task,model,scorer,avg_accuracy,min_prompt_accuracy,max_prompt_accuracy,prompt_accuracy_std,prompt_sensitivity_range
gsm8k,gpt-5-mini,equivalence_aware,0.9624999999999999,0.95,0.97,0.007071067811865483,0.020000000000000018
gsm8k,gpt-5-mini,strict,0.91125,0.9,0.93,0.009910312089651149,0.030000000000000027
gsm8k,gpt-5-nano,equivalence_aware,0.95,0.92,0.98,0.01690308509457031,0.05999999999999994
gsm8k,gpt-5-nano,strict,0.92875,0.9,0.97,0.02167124493754009,0.06999999999999995
trec6,gpt-5-mini,equivalence_aware,0.88,0.84,0.89,0.016903085094570346,0.050000000000000044
trec6,gpt-5-mini,strict,0.88,0.84,0.89,0.016903085094570346,0.050000000000000044
trec6,gpt-5-nano,equivalence_aware,0.8725,0.84,0.92,0.02604940361258639,0.08000000000000007
trec6,gpt-5-nano,strict,0.8725,0.84,0.92,0.02604940361258639,0.08000000000000007
